Order_ID,Delivery_Time_Min,Distance_KM,Order_Value_INR,Delivery_Partner_Rating,Customer_Rating,Traffic_Level,AI_Route
1,21.8,3.6,150,4.2,5,Medium,Yes
2,31.1,8.6,725,4.7,5,Medium,No
3,39.8,13.2,283,4.2,4,Medium,No
4,46.4,11.3,253,4.0,3,High,No
5,29.7,12.3,573,4.2,4,Medium,Yes
6,18.1,10.2,743,4.7,5,Low,Yes
7,37.8,10.7,616,4.0,4,High,Yes
8,41.5,12.9,518,3.8,3,High,No
9,31.7,4.5,521,4.6,4,High,No
10,38.3,7.9,552,4.7,4,High,No
11,21.3,4.1,541,3.7,5,Medium,Yes
12,48.0,14.8,484,3.9,3,Medium,No
13,49.6,14.2,463,3.7,4,High,No
14,27.6,1.6,442,4.0,4,High,Yes
15,30.8,10.9,360,4.2,4,Low,Yes
16,28.4,14.0,416,4.6,4,Low,Yes
17,26.4,3.5,247,4.5,5,Medium,Yes
18,37.2,9.0,438,4.4,3,High,Yes
19,47.4,13.8,331,4.0,3,High,Yes
20,10.0,1.5,318,4.8,5,Low,Yes
21,30.0,10.8,472,4.2,5,Medium,No
22,28.1,5.2,617,5.0,4,Medium,Yes
23,46.4,13.9,560,4.5,2,High,Yes
24,42.3,14.6,262,3.7,4,High,Yes
25,41.8,14.2,331,4.5,3,High,Yes
26,35.9,7.6,563,4.0,3,Medium,No
27,31.9,13.1,332,4.5,4,Medium,Yes
28,42.8,12.8,423,3.6,3,Medium,Yes
29,19.6,5.5,516,3.8,5,Low,No
30,45.5,12.6,334,4.8,2,High,Yes
31,27.9,1.5,463,3.8,5,High,No
32,40.4,9.3,290,4.8,4,High,Yes
33,28.1,4.2,378,3.9,5,High,Yes
34,23.4,2.7,488,4.5,4,Medium,No
35,30.3,2.1,259,4.5,4,High,No
36,39.0,10.7,503,4.3,4,High,No
37,35.7,5.8,448,4.0,4,High,Yes
38,26.6,11.1,516,3.8,5,Low,Yes
39,21.9,1.9,477,3.5,5,Medium,No
40,16.1,5.4,614,4.0,5,Low,Yes
41,26.7,8.6,465,4.5,5,High,Yes
42,34.4,12.1,398,4.9,5,Medium,Yes
43,29.9,5.5,465,4.8,5,Low,Yes
44,37.8,9.8,515,4.6,4,Medium,No
45,37.0,13.4,456,4.7,4,Medium,Yes
46,33.3,9.6,455,4.5,5,Medium,No
47,18.5,4.3,366,3.9,5,Low,Yes
48,21.1,1.3,370,4.9,4,Medium,Yes
49,32.1,13.2,282,4.5,5,Medium,Yes
50,30.4,1.3,660,4.3,5,High,Yes
51,42.7,13.2,301,3.7,3,Medium,No
52,42.5,8.4,367,4.2,3,High,No
53,42.9,14.1,364,4.2,4,Medium,No
54,38.4,12.2,557,4.8,4,Medium,No
55,52.2,15.0,415,4.3,3,High,No
56,31.2,5.9,600,4.1,4,Medium,No
57,28.1,11.7,369,5.0,5,Low,Yes
58,19.6,6.6,483,3.7,5,Low,Yes
59,36.0,7.7,350,4.1,4,High,Yes
60,37.9,9.8,707,3.6,4,Medium,Yes
61,38.8,13.2,307,4.6,3,High,Yes
62,28.3,14.8,487,4.9,5,Low,Yes
63,33.4,11.8,526,3.9,5,Low,No
64,22.4,6.8,500,4.8,5,Low,Yes
65,28.0,6.9,428,3.9,4,Medium,Yes
66,34.9,11.3,434,4.9,4,Medium,Yes
67,22.6,4.3,455,4.6,4,Medium,Yes
68,29.7,2.5,432,4.7,4,Medium,No
69,26.6,6.0,566,3.5,4,High,Yes
70,24.2,5.0,715,4.9,4,Medium,No
71,27.2,5.1,383,4.6,5,Medium,No
72,23.9,4.3,286,4.0,5,High,Yes
73,18.7,1.6,439,4.7,5,Medium,Yes
74,28.6,1.3,760,3.9,5,Medium,No
75,49.3,14.8,354,4.8,3,High,No
76,38.4,7.0,647,3.7,4,High,No
77,19.6,6.4,651,4.6,5,Low,No
78,37.3,10.5,384,4.3,4,High,Yes
79,21.6,4.1,518,3.6,4,Medium,Yes
80,37.2,14.3,645,3.9,4,Medium,Yes
81,43.1,12.0,405,3.5,4,Medium,No
82,32.7,2.3,426,4.2,4,High,No
83,22.8,6.8,380,4.0,4,Medium,Yes
84,37.9,13.3,328,4.4,3,Medium,Yes
85,40.3,14.2,372,3.9,4,Medium,Yes
86,27.8,7.5,303,3.9,4,Low,Yes
87,35.7,9.6,454,4.6,4,Low,No
88,15.9,3.3,358,3.6,5,Low,No
89,34.1,14.9,478,4.9,4,Low,No
90,13.3,4.2,263,4.8,5,Low,Yes
91,32.4,14.2,490,4.5,4,Low,Yes
92,37.0,10.1,550,4.4,4,Medium,No
93,33.2,9.5,211,4.8,4,Low,No
94,32.0,8.2,495,3.8,4,Medium,No
95,32.0,4.2,597,3.6,4,High,No
96,22.9,3.5,305,3.9,5,Medium,Yes
